Date,Product,Region,Units_Sold,Unit_Price,Total_Sale
2024-02-08,Laptop,South,24,884,21216
2024-01-29,Laptop,East,33,203,6699
2024-01-15,Headphones,North,24,492,11808
2024-02-12,Tablet,West,11,910,10010
2024-01-08,Tablet,North,49,345,16905
2024-01-21,Laptop,North,8,275,2200
2024-02-08,Tablet,East,36,138,4968
2024-01-19,Tablet,South,38,576,21888
2024-01-23,Laptop,South,40,781,31240
2024-01-11,Tablet,North,20,858,17160
2024-01-11,Camera,West,35,637,22295
2024-01-24,Phone,South,48,966,46368
2024-02-05,Phone,West,25,917,22925
2024-02-09,Laptop,South,35,507,17745
2024-01-24,Headphones,West,25,624,15600
2024-01-03,Laptop,East,29,927,26883
2024-01-22,Headphones,West,18,605,10890
2024-01-02,Phone,East,46,924,42504
2024-01-24,Laptop,East,18,135,2430
2024-02-13,Camera,West,2,784,1568
2024-01-30,Tablet,East,35,119,4165
2024-02-07,Headphones,North,16,420,6720
2024-01-02,Tablet,East,41,875,35875
2024-01-21,Tablet,South,36,611,21996
2024-02-02,Laptop,West,33,499,16467
2024-01-12,Tablet,North,4,753,3012
2024-01-22,Camera,West,33,982,32406
2024-02-13,Tablet,South,14,570,7980
2024-01-25,Laptop,South,21,242,5082
2024-02-18,Camera,South,48,191,9168
2024-01-27,Phone,East,20,453,9060
2024-02-11,Tablet,East,8,933,7464
2024-01-28,Laptop,West,7,899,6293
2024-01-16,Phone,West,3,826,2478
2024-01-15,Phone,North,17,953,16201
2024-02-16,Headphones,North,33,150,4950
2024-02-13,Camera,West,48,764,36672
2024-01-03,Tablet,East,12,797,9564
2024-02-06,Laptop,South,22,674,14828
2024-01-07,Headphones,West,22,289,6358
2024-01-21,Camera,North,46,224,10304
2024-01-09,Headphones,East,30,249,7470
2024-02-08,Camera,West,38,413,15694
2024-01-18,Camera,West,38,669,25422
2024-01-04,Tablet,East,45,441,19845
2024-01-25,Camera,West,8,404,3232
2024-01-14,Headphones,East,27,791,21357
2024-02-19,Camera,South,27,781,21087
2024-01-09,Tablet,East,34,937,31858
2024-01-26,Tablet,East,21,882,18522
2024-01-02,Headphones,East,30,153,4590
2024-01-20,Phone,West,33,543,17919
2024-01-28,Phone,West,28,712,19936
2024-02-16,Camera,East,47,363,17061
2024-01-07,Laptop,West,33,152,5016
2024-02-13,Camera,North,5,671,3355
2024-01-08,Headphones,North,48,719,34512
2024-02-16,Headphones,West,19,104,1976
2024-02-04,Headphones,West,4,202,808
2024-01-14,Headphones,East,35,295,10325
2024-01-17,Headphones,South,49,873,42777
2024-02-05,Tablet,West,17,976,16592
2024-02-19,Phone,North,44,983,43252
2024-02-09,Headphones,East,28,449,12572
2024-01-04,Laptop,West,30,146,4380
2024-01-02,Laptop,North,29,966,28014
2024-01-06,Laptop,North,46,922,42412
2024-02-11,Laptop,South,6,919,5514
2024-01-04,Tablet,East,35,755,26425
2024-01-29,Laptop,East,41,368,15088
2024-01-18,Headphones,South,37,469,17353
2024-01-26,Camera,South,24,735,17640
2024-02-13,Laptop,East,29,205,5945
2024-02-03,Tablet,East,49,769,37681
2024-01-10,Tablet,West,46,758,34868
2024-02-05,Laptop,West,31,756,23436
2024-01-14,Camera,South,35,219,7665
2024-01-31,Laptop,West,33,930,30690
2024-02-17,Tablet,North,21,886,18606
2024-01-15,Phone,West,32,703,22496
2024-01-08,Headphones,West,23,157,3611
2024-01-14,Tablet,North,33,445,14685
2024-01-23,Laptop,South,3,840,2520
2024-02-09,Headphones,North,18,573,10314
2024-01-21,Laptop,West,25,216,5400
2024-01-16,Laptop,South,42,929,39018
2024-02-14,Phone,West,31,890,27590
2024-01-18,Headphones,North,3,226,678
2024-02-16,Headphones,North,40,492,19680
2024-01-24,Phone,West,46,740,34040
2024-01-26,Tablet,East,24,157,3768
2024-01-25,Laptop,East,32,733,23456
2024-02-14,Camera,North,47,612,28764
2024-02-10,Laptop,North,22,850,18700
2024-01-29,Laptop,East,23,901,20723
2024-01-15,Tablet,East,2,195,390
2024-02-14,Laptop,West,27,737,19899
2024-01-01,Phone,West,42,217,9114
2024-01-25,Phone,East,2,659,1318
2024-01-07,Headphones,West,26,700,18200
